"community_area","total_population"
"ALBANY PARK","47830.0"
"ARCHER HEIGHTS","13875.0"
"ARMOUR SQUARE","13149.0"
"ASHBURN","42842.0"
"AUBURN GRESHAM","46483.0"
"AUSTIN","100278.0"
"AVALON PARK","9492.0"
"AVONDALE","36350.0"
"BELMONT CRAGIN","73988.0"
"BEVERLY","19811.0"
"BRIDGEPORT","33012.0"
"BRIGHTON PARK","42360.0"
"BURNSIDE","2229.0"
"CALUMET HEIGHTS","12078.0"
"CHATHAM","31440.0"
"CHICAGO LAWN","52245.0"
"CLEARING","24710.0"
"DOUGLAS","18629.0"
"DUNNING","42548.0"
"EAST GARFIELD PARK","19855.0"
"EAST SIDE","23629.0"
"EDGEWATER","47484.0"
"EDISON PARK","11398.0"
"ENGLEWOOD","21337.0"
"FOREST GLEN","19763.0"
"FULLER PARK","2186.0"
"GAGE PARK","34650.0"
"GARFIELD RIDGE","36265.0"
"GRAND BOULEVARD","24808.0"
"GREATER GRAND CROSSING","29052.0"
"HEGEWISCH","8895.0"
"HERMOSA","23200.0"
"HUMBOLDT PARK","55015.0"
"HYDE PARK","24092.0"
"IRVING PARK","53535.0"
"JEFFERSON PARK","26991.0"
"KENWOOD","14368.0"
"LAKE VIEW","90652.0"
"LINCOLN PARK","62067.0"
"LINCOLN SQUARE","42180.0"
"LOGAN SQUARE","71354.0"
"LOOP","38284.0"
"LOWER WEST SIDE","34177.0"
"MCKINLEY PARK","15400.0"
"MONTCLARE","13755.0"
"MORGAN PARK","21288.0"
"MOUNT GREENWOOD","19107.0"
"NEAR NORTH SIDE","91635.0"
"NEAR SOUTH SIDE","26307.0"
"NEAR WEST SIDE","65370.0"
"NEW CITY","40843.0"
"NORTH CENTER","35782.0"
"NORTH LAWNDALE","30355.0"
"NORTH PARK","19259.0"
"NORWOOD PARK","40074.0"
"OAKLAND","4373.0"
"OHARE","16281.0"
"PORTAGE PARK","64201.0"
"PULLMAN","6851.0"
"RIVERDALE","7740.0"
"ROGERS PARK","53169.0"
"ROSELAND","37660.0"
"SOUTH CHICAGO","29072.0"
"SOUTH DEERING","15100.0"
"SOUTH LAWNDALE","69554.0"
"SOUTH SHORE","46276.0"
"UPTOWN","52674.0"
"WASHINGTON HEIGHTS","26310.0"
"WASHINGTON PARK","12362.0"
"WEST ELSDON","18201.0"
"WEST ENGLEWOOD","25971.0"
"WEST GARFIELD PARK","16345.0"
"WEST LAWN","32451.0"
"WEST PULLMAN","25159.0"
"WEST RIDGE","79220.0"
"WEST TOWN","86453.0"
"WOODLAWN","24437.0"
